商品介绍,设计本,商品名称,商品编号,商品毛重,屏幕尺寸,支持IPv6,类型,固态硬盘（SSD）,厚度,内存容量,显卡型号,处理器,机械硬盘,显卡芯片供应商,系列,系统,屏幕刷新率,商品产地,优选服务,能效等级,特性,屏幕色域,颜色,机身材质,店铺,货号,显卡类型,特征特质,待机时长,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,设计本,型号,认证型号,产品尺寸,产品净重（kg）,显示端口,局域网,电池容量,屏幕尺寸,屏幕类型,显示比例,屏幕分辨率,核心数,CPU型号,线程数,摄像头,显存类型,显存位宽,内存类型,理论续航时间,内存频率,CPU集成显卡,显存容量,类型,CPU类型,处理器基准频率,处理器加速频率,电池芯数,Wi-Fi连接,内置麦克风,键盘,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,设计本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,Evo笔记本,商品名称,商品编号,商品毛重,类型,厚度,屏幕尺寸,系列,支持IPv6,机械硬盘,内存容量,处理器,屏幕刷新率,显卡型号,系统,固态硬盘（SSD）,显卡芯片供应商,商品产地,屏幕色域,特性,颜色,优选服务,能效等级,机身材质,店铺,货号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,Evo笔记本,型号,认证型号,产品尺寸,产品净重（kg）,显示端口,CPU集成显卡,CPU型号,类型,屏幕尺寸,屏幕分辨率,摄像头,电池容量,理论续航时间,核心数,显存类型,显存位宽,显示比例,屏幕类型,局域网,线程数,内存类型,内置麦克风,CPU类型,处理器加速频率,蓝牙版本,处理器基准频率,Wi-Fi连接,雷电端口,内存频率,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,Evo笔记本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,vPro,商品名称,商品编号,商品毛重,店铺,货号,商品产地,适用场景,类型,类别,屏幕尺寸,颜色,材质,处理器,适用人群,系列,显卡型号,系统,厚度,支持IPv6,屏幕刷新率,内存容量,显卡芯片供应商,固态硬盘（SSD）,机械硬盘,屏幕色域,特性,优选服务,机身材质,轴体类型,按键数,兼容系统,背光灯效,连接方式,数字键盘,同时连接设备,摄像头,语音控制,分辨率,推荐观看距离,护眼电视,刷屏率,电视类型,能效等级,核心数,制程工艺,适用游戏,是否自带风扇,接口,是否支持核显,电源方式,血氧监测,表带材质,防水,主机机型,硬盘
更多参数,vPro,型号,类型,认证型号,屏幕分辨率,屏幕尺寸,USB2.0接口数,USB3.0接口数,核心数,产品净重（kg）,产品尺寸,内存频率,内存类型,显示端口,蓝牙版本,局域网,显存类型,显存位宽,指点杆,摄像头,电池容量,理论续航时间,电源适配器,屏幕类型,显示比例,处理器加速频率,CPU型号,CPU集成显卡,处理器基准频率,内置麦克风,USB3.1接口数,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,vPro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,显卡,商品名称,商品编号,商品毛重,显存容量,散热风扇,显存位宽,质保期,接口,显卡型号,芯片组,显存类型,灯效,是否支持PCIE4.0,商品产地,性能,适用游戏,店铺,货号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,显卡,建议电源,电源接口,核心频率,核心品牌,显卡长度,风扇调速,散热器类型,产品尺寸,芯片制程,是否支持显卡交火,流处理单元,最大分辨率,显存频率,核心代号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,显卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,奶粉,商品名称,商品编号,商品毛重,商品产地,包装形式,段位,净含量,适用年龄,蛋白质含量,单件净含量,适用人群,钙含量,是否有机,脂肪含量,成分特点,国产/进口,货号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,奶粉,保质期,净含量,单件净含量,产品标准号,生产许可证号,包装规格,营养成分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,奶粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,内存,商品名称,商品编号,商品毛重,商品产地,DDR代数,平台,内存数量,外观特征,总容量,内存频率,货号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,内存,类型,型号,CL值,工作电压,时序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,内存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,掌机,商品名称,商品编号,商品毛重,体感,销售规格,类别,输出接口,输出分辨率,VR功能,适用人数,店铺,商品产地,货号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,掌机,产品尺寸,内置存储,附赠控制器,游戏运行介质,蓝牙连接,存储扩展,支持控制器,USB-C接口数量,内存,续航时间,品牌,产品净重（kg）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,掌机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,游戏本,商品名称,商品编号,商品毛重,内存容量,屏幕尺寸,支持IPv6,显卡芯片供应商,系统,类型,厚度,屏幕刷新率,系列,显卡型号,处理器,固态硬盘（SSD）,机械硬盘,能效等级,屏幕色域,显卡类型,商品产地,颜色,机身材质,特征特质,货号,优选服务,店铺,特性,待机时长,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,游戏本,认证型号,型号,产品净重（kg）,显示比例,屏幕分辨率,屏幕尺寸,电池容量,局域网,线程数,核心数,显示端口,屏幕类型,产品尺寸,CPU类型,显存类型,M.2接口数量,最大支持容量,CPU型号,显存容量,电池芯数,显存位宽,内存频率,处理器加速频率,插槽数量,摄像头,Wi-Fi连接,处理器基准频率,内存类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,游戏本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,轻薄本,商品名称,商品编号,商品毛重,类型,系统,厚度,内存容量,支持IPv6,处理器,屏幕刷新率,屏幕尺寸,系列,显卡型号,固态硬盘（SSD）,机械硬盘,显卡芯片供应商,商品产地,屏幕色域,特性,颜色,能效等级,优选服务,机身材质,货号,店铺,显卡类型,成色,分辨率,标签,质保期,包装配件,商品卖点,硬盘容量,特征特质,待机时长,,,,,,,,,,,,,,,,,,,,
更多参数,轻薄本,型号,认证型号,产品尺寸,产品净重（kg）,显示端口,类型,显存类型,显存位宽,局域网,摄像头,电池容量,理论续航时间,显示比例,屏幕尺寸,屏幕分辨率,屏幕类型,CPU型号,CPU集成显卡,核心数,线程数,内存类型,内置麦克风,CPU类型,音频接口,电池芯数,处理器加速频率,处理器基准频率,Wi-Fi连接,M.2接口数量,电源适配器,最大支持容量,蓝牙版本,内存频率,,,,,,,,,,,,,,,,,,,,,,
手动添加,轻薄本,_100041021195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,主板,商品名称,商品编号,商品毛重,板型,商品产地,处理器,搭配主板,SSD固态硬盘接口,RGB,质保期,M.2接口数量,Wi-Fi连接,适用CPU接口,是否支持PCIE4.0,接口,INTEL芯片,游戏特色,适用游戏,店铺,AMD芯片,是否支持PCIE5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,主板,产品净重,IDE接口,声道,内存标准,DDR代数,最大内存容量,内存插槽,PCI Express x1,PCI 插槽,PCI Express x16,接口,集成显卡,最大网络速度,型号,平台类型,电源接口,品牌,SATA,板型大小,USB接口数,HDMI接口,PCI Express x4,声卡类型,网卡类型,PS/2,音频接口,RAID支持,RJ 45网络接口,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,主板,_1000,_100020236289,_10001,_100029902363,_12,_100035259546,_100029902359,_100,_111,_10058662190338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
